conversation_id,lesson_topic,solution,question
2850057_13_1,3.4A.Subtracting Whole Numbers,,
2856167_18_1,3.6B.Quadrilaterals,,
2856205_121_2,3.6B.Quadrilaterals,,
2856205_78_1,3.6B.Quadrilaterals,,
2894376_13_2,4.4A.Subtracting Multi-Digit Numbers,,
2895049_24_2,4.5C.Perimeter,,
2895106_109_2,4.5A.Geometric Lines,,
2898670_27_2,4.2A.Place Value,,
2898733_18_2,3.4B.Rounding Whole Numbers,,
2900642_15_1,3.4B.Rounding Whole Numbers,,
2901019_23_2,4.6D.Classifying 2D Figures,,
2913327_21_1,3.5B.Word Problems with Division,,
2915943_61_2,4.2D.Rounding;3.6E.Shapes and Area,,
2915969_42_1,5.3C.Multi-Digit Division with Two-Digit Divisors,,
2915991_50_2,3.6B.Quadrilaterals,,
2916172_42_1,2.6A.Foundations of Multiplication,,
2916344_54_1,4.2A.Place Value,,
2916344_54_2,4.2A.Place Value,,
2916378_53_1,A2.7D.Factoring Polynomials,,
2927490_31_1,4.5C.Perimeter,,
2927541_87_2,4.9A.Converting Units of Measure (Review) - 1,,
2927785_18_1,5.2A.Place Value,,
2927785_18_2,5.2A.Place Value,,
2928067_33_2,2.9A.Measuring Length,,
2928098_8_2,5.7A.Standard Conversions,,
2928165_103_1,3.4D.Understanding Multiplication,,
2928284_79_2,3.4D.Understanding Multiplication,,
2928505_92_1,4.4G.Estimation,,
2928581_83_2,7.4B.Identify Unit Rate,,
2928616_51_2,6.8D.Areas by Decomposition,,
2928616_65_2,6.8D.Areas by Decomposition,,
2928702_46_1,6.8D.Areas by Decomposition,,
2928732_9_2,8.5G.Intro to Functions,,
2928755_98_2,5.1A.Multiplying Whole Numbers,,
2939739_66_1,4.6B.Symmetry,,
2939758_51_2,4.6B.Symmetry,,
2948543_44_1,4.9A.Converting Units of Measure (Review) - 2,,
2948932_5_2,2.8A.2- and 3-Dimensional Shapes (Review) - 1,,
2949046_15_2,4.1C.Estimation (Review) - 1,,
2949288_58_2,5.2B.Comparing Decimal Numbers,,
2949295_112_1,3.3A.Fraction Concepts,,
2949308_17_1,5.2A.Place Value (Review) - 1,,
2949358_89_1,3.3F.Understanding Equivalent Fractions,,
2949365_49_1,3.3F.Understanding Equivalent Fractions,,
2950057_118_1,5.2A.Decimal Numbers,,
2951109_58_1,2.9A.Measuring Length,,
2951125_71_2,2.8A.2- and 3-Dimensional Shapes,,
2962429_51_2,6.7B.Vocabulary of Algebra,,
2962890_20_2,3.4A.Subtracting Whole Numbers,,
2963055_68_2,3.1G.Shapes and Area (Review) - 2,,
2963376_36_2,2.9F.Area by Counting,,
2963511_36_1,3.4H.Understanding Division,,
2963551_25_1,5.5A.Polygons,,
2963710_103_1,4.6B.Symmetry,,
2963906_33_2,7.1C.Additive Inverses,,
2964076_43_1,5.3C.Multi-Digit Division with Two-Digit Divisors,,
2964109_39_1,2.9A.Measuring Length,,
2964109_39_2,2.9A.Measuring Length,,
2976728_100_1,2.2A.Place Value,,
2979259_24_1,3.4B.Rounding Whole Numbers,,
2979275_51_1,5.3A.Estimating Products of Fractions,,
2979275_51_2,5.3A.Estimating Products of Fractions,,
2979589_63_2,4.6D.Classifying 2D Figures,,
2979598_73_2,3.4B.Rounding Whole Numbers (Review) - 1,,
2979950_43_2,3.4B.Rounding Whole Numbers,,
2979976_25_2,4.4D.Multiplying Multi-Digit by One-Digit Numbers (Review) - 1,,
2979976_52_2,4.4D.Multiplying Multi-Digit by One-Digit Numbers (Review) - 1,,
2979999_58_2,4.3C.Equivalent Fractions (Review) - 1,,
2980322_125_1,5.4G.Understanding Volume,,
2982313_60_2,4.6B.Symmetry,,
2989226_2_1,3.4B.Rounding Whole Numbers (Review) - 2,,
2989406_98_1,3.4B.Rounding Whole Numbers (Review) - 1,,
2990115_85_1,6.2E.Dividing Fractions,,
3978685_37_1,3.1G.Shapes and Area,,
3978685_37_2,3.1G.Shapes and Area,,
3981863_38_2,6.2E.Dividing Fractions Word Problems (Review) - 1,,
3982385_33_1,4.1A.Converting Units of Measure (Review) - 1,,
3983473_16_1,3.1G.Shapes and Area,,
4012844_44_1,4.9A.Converting Units of Measure,,
4013993_24_1,3.6C.Unit Squares (Review) - 2,,
4014122_28_1,3.5B.Word Problems with Multiplication,,
4054193_63_1,4.3E.Dividing Using Equations,,
4054686_35_1,3.1A.Bar Graphs,,
4054686_35_2,3.1A.Bar Graphs,,
4055224_113_1,3.4G.Properties of Multiplication,,
4055570_209_1,4.2H.Equivalent Fractions,,
4055603_15_2,3.2B.Multiples of Ten,,
4055638_29_2,6.4F.Applying Ratios: Speed,,
4056213_24_2,4.4A.Adding Multi-Digit Numbers,,
4071501_53_2,3.4G.Properties of Multiplication,,
4079053_56_1,3.4A.Understanding Multiplication,,
4104575_59_1,5.3K.Multipying Mixed Numbers,,
4104667_21_2,6.8D.Areas by Decomposition (Review) - 1,,
4104715_98_1,2.2A.Place Value,,
4104715_98_2,2.2A.Place Value,,
4110423_27_2,5.4G.Volume of Rectangular Prisms,,
4110589_12_2,3.6C.Area with side lengths,,
4110653_70_2,3.6D.Decomposing Figures,,
4111481_50_2,4.4D.Rounding (Review) - 1,,
4111720_63_1,3.5D.Unknown Numbers in Division,,
