conversation_id,text,rubric_1,rubric_2,rubric_4,rubric_5
2850057_13_1,"That was a good try. Let me explain it to you. We have to find the place of the 2 in 2,453 and 204,530. I have shown the place value chart on the whiteboard.",No,No,,No
2856167_18_1,Your answer is incorrect. Yes. The sides are straight and not curved. Are all the sides of the playground connected?,Yes,Yes,No,Yes
2856205_121_2,Great try! What makes those trapezoids? they have 1 pair of parallel sides,Yes,No,Yes,
2856205_78_1,That was a good try.,No,No,,
2894376_13_2,Great try! When we are calculating 6 - 4 we can start with 6 on the number line and move to the left 4.,No,No,Yes,
2895049_24_2,You're close! That is the distance around the 2 sides. We want to find the distance around all 4.,No,No,Yes,Yes
2895106_109_2,Great try! An octagon has 8 sides (I remember this by thinking about an octopus having 8 tentacles). The prefix for 5 is pent,,No,Yes,Yes
2898670_27_2,"Ok, take your time",,Yes,,
2900642_15_1,That is a good try.,,No,,
2901019_23_2,"A rectangle has two equal sides and two equal angles. That's the difference between rectangles and other quadrilaterals. ",Yes,No,No,
2913327_21_1,Please recheck your answer. Let me explain it to you.,No,No,No,No
2915943_61_2,Can you show your work on the white board?,,Yes,No,No
2915969_42_1,That's a good try. Multiplication is also called as repeated addition.,No,No,,
2915991_50_2,Great try! Can you explain why you think it's a square?,,Yes,Yes,
2916172_42_1,+1 point for your effort. I will review this question at the end of the session. Let's move on to the next question.,,No,,
2916344_54_1,"Your final answer is just a little bit off. The place value of 5 in 2,593 is hundreds. The value of 5 in 2,593 is 500. Good! Plus 2 points. ""We are left with 8 minutes in the session. Let's move on to the Exit Ticket Section."" There are 3 questions.",Yes,,,Yes
2916344_54_2,Great! The 5 is in the hundreds spot.,,No,Yes,
2916378_53_1,"Your answer is incorrect. That is (a+4). Using the factor pair found in the previous step, write the quadratic expression in factor form (x+a)(x+b).",,,No,
2927490_31_1,"That was a good try. Go through the question once. In this question, given by the information is the rectangular garden.",,,Yes,
2927541_87_2,Let me rephrase the question: is there a number that we can multiply 1000 by to get 7000?,No,Yes,,
2927785_18_1,Your answer is incorrect. Plus 1 point for your try.,No,No,,No
2927785_18_2,Very good!,,No,Yes,
2928067_33_2,"Hm, not quite. Our goal is to figure out how long the crayon is. Do you know how long the crayon is?",No,Yes,No,No
2928098_8_2,Very close! an hour is 60 minutes,Yes,No,Yes,Yes
2928165_103_1,Well tried! One point for your effort. What is the value of 7x9?,No,,,
2928284_79_2,"Ah, not quite. 6 x 8 is 48. 6 x 7 is something else",No,,No,Yes
2928505_92_1,"That was s good try. But, the answer is 300. You don't need to subtract 1 from the hundreds place value number. Are you understand?",Yes,No,No,Yes
2928581_83_2,Great try. What are the units for speed?,No,Yes,Yes,No
2928616_51_2,Great - let's try a problem. What is the area of this shape?,,Yes,Yes,
2928616_65_2,Great try - looks like you solved the problem 36 x 42.,No,No,Yes,Yes
2928702_46_1,"That was a good try. You have earned 1 point for your active participation. Let me explain it to you. To decompose is to separate into two or more parts. To decompose figures can mean the separation of a shape into two or more nonoverlapping shapes. In this question, we have to find the area of this figure.",Yes,No,Yes,
2928732_9_2,"Not quite, but can you find the repeating pattern?",No,Yes,No,
2928755_98_2,You are correct that you find area by multiplying length and width. But what is the value of the length?,No,Yes,No,Yes
2939739_66_1,"Thank you for your efforts today! I think we really accomplished a lot today. Please fill in the feedback form as you leave. See you next time  Bye, [STUDENT]. Best student ever.",,No,,
2939758_51_2,You're correct that the shape is a kite! Where would it's line of symmetry be?,No,Yes,Yes,Yes
2948543_44_1,That was a good try. We need to multiply it. Are you aware of multiplication?,No,Yes,No,Yes
2948932_5_2,Great try! Can you explain why you said polygon as your answer?,No,Yes,Yes,No
2949046_15_2,"Close! 1/4 of 200 is 50, not 5. oops",Yes,No,Yes,Yes
2949288_58_2,Nice try! Since there is only one piece the place value is the ones,,No,Yes,Yes
2949295_112_1,Please recheck your work.,No,,No,
2949308_17_1,Your answer is just not quite correct.,No,No,,
2949358_89_1,Please recheck with your steps once again. You got the perfect answer. Please explain how you got your answer.,,Yes,Yes,
2949365_49_1,"Please recheck your answer. Good try, one point for your participation. Let me explain it to you. The value od 1x2 =2. Sorry for the typo, of*.",,No,No,No
2950057_118_1,Please recheck your answer. That's the correct answer. Good job! Plus 1 point. Keep it up. Here comes the practice question. Way to go! We are left with the last 3 minutes.,,Yes,Yes,
2951109_58_1,That was a good try. Plus 1 point for your try.,No,No,,No
2951125_71_2,"Hm, not quite. How many sides does the shape have?",No,Yes,No,Yes
2962429_51_2,"In arithmetic, the x means multiplication, but in algebra, the x represents a variable So in this case, the x does not mean multiplication",,No,No,
2962890_20_2,"Ah, not quite. Think about it like this. If you have 125 dollars and I take away 85, would you really have more money than when you started with?",No,Yes,No,Yes
2963055_68_2,"Ah, not quite. The question is asking for the area of the rectangle. Do you remember what we need to do to get the area of the rectangle?",No,Yes,,Yes
2963376_36_2,Great try! When we find area we can count the total number of boxes. How many total boxes are within the rectangle?,No,Yes,Yes,Yes
2963551_25_1,That's a good try.,No,No,No,No
2963710_103_1,"That was a good effort. In this question, we have to find how to determine the missing length.",,No,No,No
2963906_33_2,"Great try! Negative numbers can be more difficult on the number line. -3 1/2 shoudl be between -3 and -4, not -2 and -3",Yes,No,Yes,No
2964076_43_1,Kindly recheck your answer. Let me help you with that part. So the product of 17 and 3 is 51. Now subtract 51 and 51 to get o. So our final quotient is 563 and remainder is 0. Am I making this problem understandable to you?,Yes,,No,
2964109_39_1,"Sorry, your answer is incorrect. The unit marked at the top is in centimeters. To measure the length of the crayon we have to line up the one end of the crayon at zero. After that read the number lined up with the other edge of the crayon. The other end of the crayon is at 4, which means the other end of the crayon      is at 4 centimeters 4 centimeters  - 0 centimeters = 4 centimeters",Yes,No,,Yes
2976728_100_1,Good effort. Please read the question once again.,,Yes,No,No
2979259_24_1,"That was a good try. One point for your participation. Let me explain it to you. We need to rounded to the nearest ten. First, we need to take the ten place value in 884. What is the tens place value in 884?",No,Yes,Yes,Yes
2979275_51_1,Okay. You earn 1 point for your effort.,No,No,No,No
2979275_51_2,Great try! To find that you'll want to divide 200 by 4,No,,Yes,
2979589_63_2,"Ah, not quite. Could you let me know why you think this shape is a pentagon?",No,Yes,,Yes
2979598_73_2,Great try! Let's start with the lowest place value. What number is in the ones place?,,Yes,Yes,
2979950_43_2,"That was a good try, but that answer is not correct. When we look at the number 329, the 2 is in the tens place and the 9 is in the ones place. Do you understand? ",,,,Yes
2979976_25_2,"Great try! When we multiply, try to think of an array. So 9 rows and 6 columns",No,Yes,Yes,
2979976_52_2,Great try! When we multiply 19 by 5 we first need to multiply the 9 and 5,No,No,Yes,
2979999_58_2,Ok great! Let's try to find a fraction equivalent to 4/5,,Yes,Yes,
