conversation_id,text,rubric_1,rubric_2,rubric_4,rubric_5
2850057_13_1,"TUTOR: In this question, we have to find the two in 2,453 different from the two in 204,530. STUDENT: yes TUTOR: What is the value of 2 in 2,453? STUDENT: 223 TUTOR: That was a good try. Let me explain it to you. We have to find the place of the 2 in 2,453 and 204,530. I have shown the place value chart on the whiteboard.",No,No,,No
2856167_18_1,TUTOR: That's really correct answer. TUTOR: Plus 1 point added in your total. TUTOR: Are all the sides of the playground straight? STUDENT: no TUTOR: Your answer is incorrect. Yes. The sides are straight and not curved. Are all the sides of the playground connected?,Yes,Yes,No,Yes
2856205_121_2,TUTOR: Plus one point for you. TUTOR: Here is your next problem. TUTOR: Is that your final answer? STUDENT: 1 an 3 TUTOR: Great try! What makes those trapezoids? they have 1 pair of parallel sides,Yes,No,Yes,
2856205_78_1,"TUTOR: Okay, here comes the next one. STUDENT: done TUTOR: Is that your final answer? STUDENT: yes TUTOR: That was a good try.",No,No,,
2894376_13_2,TUTOR: Good start!! STUDENT: 21372 TUTOR: Is this your final answer? STUDENT: yes TUTOR: Great try! When we are calculating 6 - 4 we can start with 6 on the number line and move to the left 4.,No,No,Yes,
2895049_24_2,TUTOR: Perimeter refers to the boundary of a closed plane figure. TUTOR: Or the perimeter is the distance around the object. TUTOR: What is the question asking us to do? STUDENT: so it would be 7 + 5 TUTOR: You're close! That is the distance around the 2 sides. We want to find the distance around all 4.,No,No,Yes,Yes
2895106_109_2,"TUTOR: Examples: triangles, rectangles and pentagons. TUTOR: An obtuse angle is an angle that is more than 90 degrees. TUTOR: What is the name of a 5 sided polygon? STUDENT: a octogon TUTOR: Great try! An octagon has 8 sides (I remember this by thinking about an octopus having 8 tentacles). The prefix for 5 is pent",,No,Yes,Yes
2898670_27_2,"TUTOR: Since Marc had 90 hundreds blocks, we will write a number with 90 in the hundreds place. TUTOR: Why can't we have a two-digit number in one place value? TUTOR: Do you need any help to answer this question? STUDENT: no TUTOR: Ok, take your time",,Yes,,
2900642_15_1,TUTOR: I'll help you with this question. TUTOR: We are asked to round the value to nearest ten. TUTOR: What is the number is in tens place? STUDENT: 2 TUTOR: That is a good try.,,No,,
2901019_23_2,"TUTOR: A quadrilateral is a shape with four sides. TUTOR: Since both drawings are quadrilaterals, they both have four sides and four angles. TUTOR: What is a rectangle? STUDENT: done TUTOR: A rectangle has two equal sides and two equal angles. That's the difference between rectangles and other quadrilaterals.",Yes,No,No,
