step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy,train_mean_reward,full_validation_mean_reward
1,1.17886,0.66667,,,,
2,1.3423,0.66667,,,,
3,0.01758,1.0,,,,
4,0.01769,1.0,,,,
5,0.28141,0.66667,,,,
6,0.00603,1.0,,,,
7,0.00062,1.0,,,,
8,0.01659,1.0,,,,
9,1.96298,0.66667,,,,
10,0.00036,1.0,1.58688,0.66667,,
11,0.08624,1.0,,,,
12,0.02089,1.0,,,,
13,0.00139,1.0,,,,
14,0.12926,1.0,,,,
15,0.00047,1.0,,,,
16,0.00696,1.0,,,,
17,0.01836,1.0,,,,
18,0.06719,1.0,,,,
19,0.74602,0.66667,,,,
20,1.42149,0.66667,0.00017,1.0,,
21,2.20884,0.66667,,,,
22,0.00016,1.0,,,,
23,0.00016,1.0,,,,
24,0.00013,1.0,,,,
25,0.63679,0.66667,,,,
26,0.00014,1.0,,,,
27,1.09609,0.66667,,,,
28,0.02079,1.0,,,,
29,0.00087,1.0,,,,
30,0.00031,1.0,0.00111,1.0,,
31,0.32474,0.66667,,,,
32,8e-05,1.0,,,,
33,3e-05,1.0,,,,
34,3e-05,1.0,,,,
35,0.01832,1.0,,,,
36,0.00015,1.0,,,,
37,2e-05,1.0,,,,
38,0.00176,1.0,,,,
39,0.00058,1.0,,,,
40,0.10444,1.0,3e-05,1.0,,
41,0.00011,1.0,,,,
42,7e-05,1.0,,,,
43,2e-05,1.0,,,,
44,1e-05,1.0,,,,
45,1e-05,1.0,,,,
46,0.02631,1.0,,,,
47,1e-05,1.0,,,,
48,0.00051,1.0,,,,
49,1e-05,1.0,,,,
50,0.02067,1.0,1e-05,1.0,,
51,1e-05,1.0,,,,
52,0.19202,1.0,,,,
53,0.93737,0.66667,,,,
54,5e-05,1.0,,,,
55,5e-05,1.0,,,,
56,3e-05,1.0,,,,
57,2e-05,1.0,,,,
58,3e-05,1.0,,,,
59,1.91777,0.66667,,,,
60,5e-05,1.0,4e-05,1.0,,
61,6e-05,1.0,,,,
62,4e-05,1.0,,,,
63,0.00024,1.0,,,,
64,0.00016,1.0,,,,
65,0.00022,1.0,,,,
66,0.00017,1.0,,,,
67,3.87514,0.66667,,,,
68,0.00061,1.0,,,,
69,0.00012,1.0,,,,
70,2.41707,0.66667,3e-05,1.0,,
71,0.00016,1.0,,,,
72,8e-05,1.0,,,,
73,0.04762,1.0,,,,
74,4e-05,1.0,,,,
75,0.084,1.0,,,,
76,2.70849,0.66667,,,,
77,6e-05,1.0,,,,
78,5e-05,1.0,,,,
79,0.00018,1.0,,,,
80,0.00067,1.0,0.00162,1.0,,
81,0.00038,1.0,,,,
82,0.0009,1.0,,,,
83,0.01225,1.0,,,,
84,0.00071,1.0,,,,
85,0.0008,1.0,,,,
86,0.00048,1.0,,,,
87,0.00551,1.0,,,,
88,0.0023,1.0,,,,
89,0.13111,1.0,,,,
90,0.00197,1.0,0.00074,1.0,,
91,0.01107,1.0,,,,
92,0.03046,1.0,,,,
93,0.00213,1.0,,,,
94,0.00048,1.0,,,,
95,0.56787,0.66667,,,,
96,0.00042,1.0,,,,
97,8e-05,1.0,,,,
98,0.06727,1.0,,,,
99,3e-05,1.0,,,,
100,0.27536,0.66667,3.04177,0.66667,,
101,8e-05,1.0,,,,
102,0.00032,1.0,,,,
103,0.00012,1.0,,,,
104,7e-05,1.0,,,,
105,0.0008,1.0,,,,
106,0.00014,1.0,,,,
107,5.00022,0.66667,,,,
108,0.00018,1.0,,,,
109,0.00136,1.0,,,,
110,0.02643,1.0,0.00022,1.0,,
111,0.00018,1.0,,,,
112,0.01251,1.0,,,,
113,0.00155,1.0,,,,
114,0.00036,1.0,,,,
115,3e-05,1.0,,,,
116,2e-05,1.0,,,,
117,5e-05,1.0,,,,
118,4e-05,1.0,,,,
119,1e-05,1.0,,,,
120,1e-05,1.0,0.43777,0.66667,,
121,1.01622,0.66667,,,,
122,0.0,1.0,,,,
123,2e-05,1.0,,,,
124,1.01621,0.66667,,,,
125,1e-05,1.0,,,,
126,7e-05,1.0,,,,
127,1e-05,1.0,,,,
128,0.43778,0.66667,,,,
129,0.60162,0.66667,,,,
130,0.00066,1.0,2e-05,1.0,,
131,5e-05,1.0,,,,
132,8e-05,1.0,,,,
133,2e-05,1.0,,,,
134,5e-05,1.0,,,,
135,0.0033,1.0,,,,
136,1.46255,0.66667,,,,
137,0.00012,1.0,,,,
138,0.00079,1.0,,,,
139,0.08402,1.0,,,,
140,8e-05,1.0,0.00176,1.0,,
141,0.11622,1.0,,,,
142,0.00039,1.0,,,,
143,0.00012,1.0,,,,
144,6e-05,1.0,,,,
145,0.00121,1.0,,,,
146,0.00012,1.0,,,,
147,9e-05,1.0,,,,
148,3e-05,1.0,,,,
149,0.0001,1.0,,,,
150,0.00017,1.0,0.00056,1.0,,
151,0.08406,1.0,,,,
152,0.11654,1.0,,,,
153,0.0002,1.0,,,,
154,0.00078,1.0,,,,
155,0.00038,1.0,,,,
156,0.00058,1.0,,,,
157,0.00026,1.0,,,,
158,0.00426,1.0,,,,
159,0.00035,1.0,,,,
160,0.00043,1.0,0.00049,1.0,,
161,2.79204,0.66667,,,,
162,0.00253,1.0,,,,
163,0.00026,1.0,,,,
164,0.00016,1.0,,,,
165,0.00114,1.0,,,,
166,0.0029,1.0,,,,
167,4e-05,1.0,,,,
168,2e-05,1.0,,,,
169,5e-05,1.0,,,,
